Variable,Component,Criticality,Local,Staging,Production,Required,Owner,Rotation,LastValidated,Notes
ASPNETCORE_ENVIRONMENT,API,CRITICA-ARRANQUE,,,,Yes,Platform,Semestral,,
ConnectionStrings__DefaultConnection,API,CRITICA-ARRANQUE,,,,Yes,DBA,Semestral,,
Jwt__SecretKey,API,CRITICA-ARRANQUE,,,,Yes,Security,Semestral,Min 32 chars
Jwt__Issuer,API,CRITICA-ARRANQUE,,,,Yes,Backend,Semestral,,
Jwt__Audience,API,CRITICA-ARRANQUE,,,,Yes,Backend,Semestral,,
Jwt__AccessTokenExpirationMinutes,API,CRITICA-RUN,,,,Yes,Backend,Semestral,,
Jwt__RefreshTokenExpirationDays,API,CRITICA-RUN,,,,Yes,Backend,Semestral,,
PaymentProcessing__Mode,API,CRITICA-RUN,,,,Yes,Backend,Semestral,Fake|Real
PaymentProcessing__AllowSimpleCheckout,API,CRITICA-RUN,,,,Yes,Backend,Semestral,,
PaymentProcessing__RequireCardValidationInFakeMode,API,CRITICA-RUN,,,,Yes,Backend,Semestral,,
EmailSettings__FromName,API,CRITICA-RUN,,,,Yes,Ops,Semestral,,
EmailSettings__FromEmail,API,CRITICA-ARRANQUE,,,,Yes,Ops,Semestral,,
EmailSettings__SmtpServer,API,CRITICA-ARRANQUE,,,,Yes,Ops,Semestral,,
EmailSettings__SmtpPort,API,CRITICA-RUN,,,,Yes,Ops,Semestral,,
EmailSettings__EnableSsl,API,CRITICA-RUN,,,,Yes,Ops,Semestral,,
EmailSettings__Username,API,CRITICA-ARRANQUE,,,,Yes,Ops,Semestral,,
EmailSettings__Password,API,CRITICA-ARRANQUE,,,,Yes,Ops,Semestral,Secret
EmailSettings__MaxRetryAttempts,API,CRITICA-RUN,,,,Yes,Ops,Semestral,,
EmailSettings__RetryDelayMilliseconds,API,CRITICA-RUN,,,,Yes,Ops,Semestral,,
EmailSettings__Timeout,API,CRITICA-RUN,,,,Yes,Ops,Semestral,,
